threshold,policy,total_samples,acceptable_samples,unacceptable_samples,true_accepts,true_rejects,false_accepts,false_rejects,false_accept_rate,false_reject_rate,precision,recall,balanced_accuracy,acceptance_rate,rejection_rate
85.5,combined,44,19,25,15,9,16,4,0.6400,0.2105,0.4839,0.7895,0.5747,0.7045,0.2955
86.0,combined,44,19,25,15,10,15,4,0.6000,0.2105,0.5000,0.7895,0.5947,0.6818,0.3182
86.5,combined,44,19,25,14,10,15,5,0.6000,0.2632,0.4828,0.7368,0.5684,0.6591,0.3409
87.0,combined,44,19,25,13,10,15,6,0.6000,0.3158,0.4643,0.6842,0.5421,0.6364,0.3636
87.5,combined,44,19,25,13,10,15,6,0.6000,0.3158,0.4643,0.6842,0.5421,0.6364,0.3636
88.0,combined,44,19,25,13,12,13,6,0.5200,0.3158,0.5000,0.6842,0.5821,0.5909,0.4091
88.5,combined,44,19,25,13,14,11,6,0.4400,0.3158,0.5417,0.6842,0.6221,0.5455,0.4545
89.0,combined,44,19,25,13,16,9,6,0.3600,0.3158,0.5909,0.6842,0.6621,0.5000,0.5000
89.5,combined,44,19,25,13,17,8,6,0.3200,0.3158,0.6190,0.6842,0.6821,0.4773,0.5227
90.0,combined,44,19,25,13,17,8,6,0.3200,0.3158,0.6190,0.6842,0.6821,0.4773,0.5227
90.5,combined,44,19,25,10,17,8,9,0.3200,0.4737,0.5556,0.5263,0.6032,0.4091,0.5909
91.0,combined,44,19,25,9,19,6,10,0.2400,0.5263,0.6000,0.4737,0.6168,0.3409,0.6591
91.5,combined,44,19,25,9,19,6,10,0.2400,0.5263,0.6000,0.4737,0.6168,0.3409,0.6591
92.0,combined,44,19,25,9,21,4,10,0.1600,0.5263,0.6923,0.4737,0.6568,0.2955,0.7045
92.5,combined,44,19,25,9,22,3,10,0.1200,0.5263,0.7500,0.4737,0.6768,0.2727,0.7273
93.0,combined,44,19,25,8,22,3,11,0.1200,0.5789,0.7273,0.4211,0.6505,0.2500,0.7500
93.5,combined,44,19,25,7,22,3,12,0.1200,0.6316,0.7000,0.3684,0.6242,0.2273,0.7727
94.0,combined,44,19,25,6,24,1,13,0.0400,0.6842,0.8571,0.3158,0.6379,0.1591,0.8409
94.5,combined,44,19,25,6,25,0,13,0.0000,0.6842,1.0000,0.3158,0.6579,0.1364,0.8636
95.0,combined,44,19,25,5,25,0,14,0.0000,0.7368,1.0000,0.2632,0.6316,0.1136,0.8864
95.5,combined,44,19,25,4,25,0,15,0.0000,0.7895,1.0000,0.2105,0.6053,0.0909,0.9091
96.0,combined,44,19,25,4,25,0,15,0.0000,0.7895,1.0000,0.2105,0.6053,0.0909,0.9091
96.5,combined,44,19,25,3,25,0,16,0.0000,0.8421,1.0000,0.1579,0.5789,0.0682,0.9318
97.0,combined,44,19,25,3,25,0,16,0.0000,0.8421,1.0000,0.1579,0.5789,0.0682,0.9318
97.5,combined,44,19,25,2,25,0,17,0.0000,0.8947,1.0000,0.1053,0.5526,0.0455,0.9545
98.0,combined,44,19,25,2,25,0,17,0.0000,0.8947,1.0000,0.1053,0.5526,0.0455,0.9545
98.5,combined,44,19,25,1,25,0,18,0.0000,0.9474,1.0000,0.0526,0.5263,0.0227,0.9773
99.0,combined,44,19,25,1,25,0,18,0.0000,0.9474,1.0000,0.0526,0.5263,0.0227,0.9773
99.5,combined,44,19,25,1,25,0,18,0.0000,0.9474,1.0000,0.0526,0.5263,0.0227,0.9773
100.0,combined,44,19,25,1,25,0,18,0.0000,0.9474,1.0000,0.0526,0.5263,0.0227,0.9773
